name,id,indicator_group,indicator_topic,indicator_name,unit,url,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,DZ,Electricity,Supply,Electricity generated from renewable sources (GWh),GWh,/aep/country/algeria,54,274.7000122,274.7000122,274.7399902,251.1000061,555,218,226,283,342,171,250.526001,208.6106415,561,539,222,334,635.3900146,783.0999756,793.1876221,805.2469482,680.8399658,NULL
Algeria,DZ,Electricity,Supply,"Electricity generated from solar, wind, tide, wave and other sources (GWh)",GWh,/aep/country/algeria,0,0,0,0,0,0,0,0,0,0,0,77.52600098,82.78199768,231,285,77,116,579.0900269,666.0999756,673.5130005,682.9017944,671.539978,NULL
Algeria,DZ,Electricity,Supply,Electricity generation per capita (KWh),KWh per capita,/aep/country/algeria,814.9139404,849.2837524,870.9378662,921.0650024,940.7269287,1018.822144,1042.870605,1084.428955,1148.456299,1205.923706,1185.957886,1393.632324,1516.925903,1568.160156,1649.745361,1725.491821,1748.434082,1839.805908,1824.961914,1879.955566,1940.875854,1942.0448,NULL
Algeria,DZ,Electricity,Supply,"Electricity generation, Total (GWh)",GWh,/aep/country/algeria,25412,26830.69922,27865.69922,29845.74023,30885.09961,33915,35226,37196,40036,42769,42834,51312.93359,56984.60938,60121,64527,68798,70997,76017.35938,76663.09375,80234.65625,84104.47656,85390.35156,NULL
Algeria,DZ,Electricity,Supply,Electricity import (GWh),GWh,/aep/country/algeria,542,406,496,435,408,359,382,279,274,326,736,657,936,295,686,610,257,575.9644775,742.8764038,887.6987305,1046.864014,378.6727905,NULL
Algeria,DZ,Electricity,Supply,Electricity: Net imports ( GWh ),GWh,/aep/country/algeria,223,210,237,223,211,84,84,6,-49,-36,-67,-142,-49,-89,-191,-31,-250,-342.7999878,-91,-88.1359024,-82,-1150.672241,NULL
Algeria,DZ,Electricity,Technical,Electricity installed capacity in Bioenergy (MW),MW,/aep/country/algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZ,Electricity,Technical,Electricity installed capacity in Fossil fuels (MW),MW,/aep/country/algeria,5846.209961,5842.700195,6333.810059,6465.240234,6757.240234,7576.02002,8017.259766,8629.459961,8740.330078,11565.66016,11751.09375,11857.06445,13317.87988,15632.25977,16491.35938,17733.73047,19574.40039,19995.90039,21583.90039,23923.5,24763.5,25219.5,26019.5
Algeria,DZ,Electricity,Technical,Electricity installed capacity in Geothermal (MW),MW,/aep/country/algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZ,Electricity,Technical,Electricity installed capacity in Hydropower (MW),MW,/aep/country/algeria,276.6000061,276.6000061,276.6000061,276.6000061,276.6000061,276.6000061,249.6000061,249.6000061,230.6000061,227.6000061,227.6000061,227.6000061,227.6000061,227.6000061,227.6000061,227.6000061,227.6000061,228,228,228,208.6000061,128.8999939,128.8999939
Algeria,DZ,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),MW,/aep/country/algeria,5846.209961,5842.700195,6333.810059,6465.240234,6757.240234,7576.02002,8017.259766,8629.459961,8740.330078,11565.66016,11751.08984,11857.05957,13317.87988,15632.25977,16491.35938,17733.73047,19574.40039,19995.90039,21583.90039,23923.5,24763.5,25219.5,26019.5
Algeria,DZ,Electricity,Technical,Electricity installed capacity in Nuclear (MW),MW,/aep/country/algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZ,Electricity,Technical,Electricity installed capacity in Solar (MW),MW,/aep/country/algeria,0,0,0,0,0,0,0,0,0,0,25,25,25,25,28.29999924,61.09999847,261.1000061,354.1000061,366.1000061,366.1000061,366.1000061,366.1000061,450.7999878
Algeria,DZ,Electricity,Technical,Electricity installed capacity in Total renewable energy (MW),MW,/aep/country/algeria,276.6000061,276.6000061,276.6000061,276.6000061,276.6000061,276.6000061,249.6000061,249.6000061,230.6000061,227.6000061,252.6000061,252.6000061,252.6000061,252.6000061,266.1000061,298.8999939,498.8999939,592.2999878,604.0999756,604.0999756,584.7000122,505,589.7000122
Algeria,DZ,Electricity,Technical,Electricity installed capacity in Wind (MW),MW,/aep/country/algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.19999981,10.19999981,10.19999981,10.19999981,10,10,10,10,10
Algeria,DZ,Electricity,Technical,Electricity installed capacity in other Non-renewable energy (MW),MW,/aep/country/algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZ,Electricity,Technical,"Electricity installed capacity, Total (MW)",MW,/aep/country/algeria,6122.810059,6119.299805,6610.410156,6741.839844,7033.839844,7852.620117,8266.860352,8879.05957,8970.929688,11793.25977,12003.69434,12109.66406,13570.48047,15884.86035,16757.46094,18032.63086,20073.30078,20588.19922,22188,24527.59961,25348.19922,25724.5,26609.19922
Angola,AO,Electricity,Access,Population access to electricity-National (% of population),% of population,/aep/country/angola,24.20000076,20,26.29999924,27.39999962,28.39999962,29.39999962,30.5,37.5,38.5,33.79999924,35,34.59999847,37.29999924,38.40000153,32,42,41.79999924,42.90000153,45.29999924,45.59999847,47,48.20000076,48.5
Angola,AO,Electricity,Access,Population access to electricity-Rural (% of population),% of population,/aep/country/angola,3.5,9.5,2.799999952,2.299999952,1.700000048,1,0.699999988,4.5,6.599999905,5.699999809,4.900000095,7.099999905,6.5,6.800000191,5.199999809,3.799999952,5.599999905,6.199999809,7.300000191,7.699999809,8.100000381,8.199999809,8.5
Angola,AO,Electricity,Access,Population access to electricity-Urban (% of population),% of population,/aep/country/angola,44.82778549,29.97818184,47.59513092,49.088871,50.39867401,51.71429825,53.19828415,61.8670311,61.33356094,53.29933929,55.24846268,52.53370285,56.77070999,57.76638412,47.92240143,64.00820923,62.03095627,62.80212021,65.30249023,64.97097778,66.31163788,67.49456024,67.25385284
Angola,AO,Electricity,Access,Population with access to electricity-National (millions of people),Millions of people,/aep/country/angola,3.978702068,3.396653891,4.621605873,4.987722874,5.357863903,5.748445988,6.180031776,7.87413311,8.377375603,7.621747017,8.179195404,8.379620552,9.360862732,9.983362198,8.614549637,11.70090961,12.04403019,12.77742004,13.94071007,14.49512959,15.42887974,16.33713913,16.9693203
Angola,AO,Electricity,Access,Population with access to electricity-Rural (millions of people),Millions of people,/aep/country/angola,0.287212998,0.786148012,0.233906999,0.194076002,0.144877002,0.086030997,0.061324,0.401349992,0.599115014,0.526539981,0.460514992,0.678731978,0.631810009,0.67176801,0.521721005,0.38697499,0.578472018,0.649298012,0.774724007,0.827875018,0.882125974,0.904404998,0.949283004
Angola,AO,Electricity,Access,Population with access to electricity-Urban (millions of people),Millions of people,/aep/country/angola,3.691488981,2.610505104,4.387698174,4.793645859,5.212985992,5.662415028,6.118706226,7.472782135,7.778260231,7.095208168,7.718678951,7.700888157,8.729052544,9.311593056,8.092827797,11.31392956,11.46555042,12.12812042,13.16598988,13.66726017,14.54675007,15.43274021,16.02004051
